Name,Date,Review_Title,Review_Text,Location,Rating
SHEMA Shadia,"January 02, 2023",Kendrick from custom care was so…,Kendrick from custom care was so helpful with the issue i had of a missing item in my order. very patient and understanding. i had a pleasant experience with the custom care. i would give them 5/5,RW,Rated 5 out of 5 stars
Steph,"January 05, 2023",Celine took the time to read the notes…,Celine took the time to read the notes from previous chats so I didn’t have to repeat myself and then responded very effectively,GB,Rated 5 out of 5 stars
Emili S Brijani,"January 03, 2023",Melwin,"Melwin, my contact with you, was really patient and really understood my problem tho my english is not the best. he had great customer service",SE,Rated 5 out of 5 stars
James,"January 03, 2023",Gerome was helpful as my return was not…,Gerome was helpful as my return was not processed within the advised time which shows poor running of the returns scheme but good customer service by him,IE,Rated 5 out of 5 stars
Jess Cayman,"October 12, 2022",Sadly had some troubles with getting my…,Sadly had some troubles with getting my orders recently. But to be fair since I started buying on asos it’s the first time anything like this happened. I got my money back.,GB,Rated 5 out of 5 stars
Marta,"January 04, 2023",Customer service quality is excellent!,Customer service quality is exceptional!I had a pleasure speaking to Beryl. Very professional and helpful!Highly recommended 👌,IE,Rated 5 out of 5 stars
Crystal Miller,"January 03, 2023",Excellent service and amazing products,Excellent service and amazing products. Efficient customer service and immediate attention to resolve customer queries. Would definitely recommend.,GB,Rated 5 out of 5 stars
Jonathan,"January 03, 2023",FrancisDominic was amazing,"FrancisDominic was amazing, I had a delivery arrive late after paying for the fastest delivery option. Francis got straight to work and was sorted within 5 minutes!",GB,Rated 5 out of 5 stars
Leigha Parkinson,"January 05, 2023",Dainajane Was really lovely and helpful…,Dainajane Was really lovely and helpful and friendly! Really appreciate keeping me updated as we went along!,GB,Rated 5 out of 5 stars
Su,"January 03, 2023",This is my first time i have contacted…,"This is my first time i have contacted customer service with Asos. Melvin was so helpful, i am very satisfied. Thank you!",MT,Rated 5 out of 5 stars
sindi pilku,"January 04, 2023",The company answered for everything i…,"The company answered for everything i asked thoroughly, was comunicative and tried to solve the problems.",AL,Rated 5 out of 5 stars
Yazz,"January 05, 2023",So so helpful,So so helpful! Totally would recommend to speak to an advisor. Always helps sort out any issue I have.,GB,Rated 5 out of 5 stars
Val H,"January 05, 2023",I had an issue with a missing parcel…,I had an issue with a missing parcel which needed to be returned and your colleague was extremely helpful and polite.,GB,Rated 5 out of 5 stars
Banch,"January 05, 2023",Very prompt response and Janus was…,Very prompt response and Janus was super helpful and resolved the matter quickly and satisfactorily.,AU,Rated 5 out of 5 stars
Olaitan Ajayi,"January 03, 2023",Mervyn was very understanding and…,Mervyn was very understanding and helpful. Didn't waste any time and resolved the issue in just a few minutes. Very smooth process.,GB,Rated 5 out of 5 stars
Katie Wilkie,"January 04, 2023",Both times i have enquired for help…,Both times i have enquired for help regarding my packages both customer care advisors were very helpful. Thank you.,IE,Rated 5 out of 5 stars
Lumi,"January 03, 2023",Xarinamacnicky was fast and on point,Xarinamacnicky was quick and professional. On point. I am now waiting to receive my email refund and its a 5star.,RO,Rated 5 out of 5 stars
Aelson Chong,"January 04, 2023",Gerome was very helpful and clear on…,Gerome was very helpful and clear on his explanations. Definitely a treasured member of the team.,SG,Rated 5 out of 5 stars
Martina Ferić,"January 03, 2023",Post office in my country had issue…,"Post office in my country had some issue with returning package, and employees helped me making new return. :)",HR,Rated 5 out of 5 stars
Kace Kay,"January 02, 2023",Fast response time,Fast response time. Simple solution and great customer care! Helped me with returning a final sale item that I received the wrong color for.,US,Rated 5 out of 5 stars
Aqsa,"January 04, 2023",Excellent customer care assistants,"Excellent customer care assistants. I spoke to Princess. She was polite, helpful, and straight to the point.",GB,Rated 5 out of 5 stars
Jen Davies,"January 04, 2023",Very quick,"Very quick, person who helped was extremely helpful and raised an investigation when my parcel was delayed.",GB,Rated 5 out of 5 stars
Vitaliy,"January 02, 2023",Excellent professional work,Excellent professional work. I was quickly helped to solve my problem and I am glad that I asked for advice. I am grateful for help.,UA,Rated 5 out of 5 stars
Galit Rotem,"January 02, 2023",Farhannah was very helpful,"Farhannah was the third person I spoke with, the other two just disconnected me. Farhannah was very helpful and nice.",IL,Rated 5 out of 5 stars
Alina Toader,"January 04, 2023",Ronette was very helpful with the…,Ronette was very helpful with the refund for a faulty item I got. The process went smooth,NL,Rated 5 out of 5 stars
amy west,"January 03, 2023",Asos are amazing proving they don't use evri,"Asos are amazing PROVIDING THEY DONT USE EVRI DELIVERY SERVICES,  as you pay for premium delivery and don't get it.",GB,Rated 4 out of 5 stars
Vanessa Calderon,"January 06, 2023",Janine answered all my questions and…,Janine answered all my questions and assisted with a replacement for my missing package.,US,Rated 5 out of 5 stars
Line,"January 02, 2023",Great customer service!,"It might be a bit hard to find the live chat, but the service it definitely worth it! Nice, quick and very helpful.",DK,Rated 5 out of 5 stars
Lin Yu Wun,"January 04, 2023",I always have great experience with…,"I always have great experience with ASOS live chat, they are very polite and solving problems quickly",AU,Rated 5 out of 5 stars
Nae,"January 02, 2023",Such a great customer service,"Such a great customer service. Xarinamacnicky helped me perfectly, she was very polite, kind and straight forward.",NL,Rated 5 out of 5 stars
Elena,"January 05, 2023",I was chatting with Paulene,"I was chatting with Paulene, very helpful and clear about the information that I asked",GB,Rated 5 out of 5 stars
Zita,"January 04, 2023",The assistant was very nice and helped…,The assistant was very nice and helped me solve the issue very quickly. Great service!,NL,Rated 5 out of 5 stars
Tina M Bjers,"January 02, 2023",Jonathan at Asos was helpful and took…,"Jonathan at Asos was helpful and took action to solve my problem. Nice service, makes me wanna shop there again.",SE,Rated 5 out of 5 stars
Kuhoo Verma,"January 03, 2023",The chat experience was so efficient…,The chat experience was so efficient and started the process of taking care of my problem almost immediately !!,US,Rated 5 out of 5 stars
Jordan Sanders,"January 06, 2023",Great customer service every time,Great customer service every time! Always helpful and sort the issue straight away!,GB,Rated 5 out of 5 stars
MayC,"January 03, 2023",Roviemheljhon was extremely helpful and…,Roviemheljhon was extremely helpful and resolved my problem on the spot. Thank you very much.,SG,Rated 5 out of 5 stars
Franciska Perković,"January 02, 2023",Kindness of the agents,The agents are so kind that it makes this experience of needing help and wasting my time eve enjoyable :),HR,Rated 5 out of 5 stars
Em Denise,"January 02, 2023",Melvin was absolutely amazing helping…,"Melvin was absolutely amazing helping me solve my issue with a missing item, took less than 5 minutes!",GB,Rated 5 out of 5 stars
Laura Visan,"January 02, 2023",Fast answer of my request and great…,Fast answer of my request and great support throughout the conversation. Big well done and keep it up!,MT,Rated 5 out of 5 stars
Raphael Adesina,"January 03, 2023",Acceptable customer service.,The customer Advisor stressed my issue with a promise to resolve my issue in a professionally manner.,GB,Rated 5 out of 5 stars
Dean Lannen,"January 05, 2023",Francis was brilliant,"Francis was brilliant, very helpful and sorted out the mistake with my order.",GB,Rated 4 out of 5 stars
Georgios Veidamenidis,"January 03, 2023",Chatting with customer service was fast…,Chatting with customer service was fast and the person I chatted with had the appropriate knowledge.,IE,Rated 5 out of 5 stars
Julia R.,"January 02, 2023",Carissa was lovely and speedy and…,Carissa was lovely and speedy and helpful! She solved my problem and was absolutely friendly and professional!,US,Rated 5 out of 5 stars
Muneeb Qureshi,"January 05, 2023",Leah was great and very helpful,"Leah was great and very helpful,  my query was resolved  :DI wish her a great day! 👍",GB,Rated 5 out of 5 stars
Alice Reason,"January 03, 2023",Great customer service,"Great customer service, made the chat personal by building rapport and helped me sort my problem!",GB,Rated 5 out of 5 stars
